"Year","City of Adelaide","Greater Adelaide","South Australia","Australia"
"2010-12-01 00:00:00",6.4382,5.3671,5.3,5.2
"2011-03-01 00:00:00",6.8855,5.5132,5.5,5.1
"2011-06-01 00:00:00",6.9049,5.5054,5.4,5
"2011-09-01 00:00:00",7.0737,5.53,5.4,5.1
"2011-12-01 00:00:00",7.3286,5.4746,5.4,5.1
"2012-03-01 00:00:00",7.2292,5.4073,5.3,5.1
"2012-06-01 00:00:00",7.3689,5.4448,5.3,5.2
"2012-09-01 00:00:00",6.9031,5.491,5.4,5.2
"2012-12-01 00:00:00",6.5898,5.538,5.5,5.2
"2013-03-01 00:00:00",6.6978,5.69,5.7,5.3
"2013-06-01 00:00:00",7.1399,5.7928,5.8,5.4
"2013-09-01 00:00:00",7.4617,5.9941,6,5.6
"2013-12-01 00:00:00",7.4949,6.3431,6.3,5.7
"2014-03-01 00:00:00",7.3851,6.5312,6.5,5.8
"2014-06-01 00:00:00",6.5346,6.6707,6.7,5.9
"2014-09-01 00:00:00",6.176,6.7425,6.7,6
"2014-12-01 00:00:00",6.6237,6.6742,6.7,6.1
"2015-03-01 00:00:00",6.8262,6.6697,6.7,6.1
"2015-06-01 00:00:00",7.945,6.9355,6.9,6.1
"2015-09-01 00:00:00",8.9839,7.2667,7.3,6.2
"2015-12-01 00:00:00",9.3582,7.421,7.4,6.1
"2016-03-01 00:00:00",9.9553,7.559,7.4,5.9
"2016-06-01 00:00:00",10.036,7.4215,7.3,5.9
"2016-09-01 00:00:00",9.7745,7.2063,7,5.7
"2016-12-01 00:00:00",9.7612,7.1243,6.8,5.7
"2017-03-01 00:00:00",9.2292,7.0368,6.7,5.7
"2017-06-01 00:00:00",8.3896,7.0371,6.7,5.7
"2017-09-01 00:00:00",7.9664,6.7907,6.5,5.7
"2017-12-01 00:00:00",7.403,6.5509,6.3,5.6
"2018-03-01 00:00:00",6.8015,6.3373,6.2,5.5
"2018-06-01 00:00:00",6.513,6.0907,5.9,5.5
"2018-09-01 00:00:00",6.5616,6.037,5.8,5.4
"2018-12-01 00:00:00",6.5096,5.952,5.7,5.3
"2019-03-01 00:00:00",6.7599,5.8813,5.7,5.2
"2019-06-01 00:00:00",7.1547,5.8401,5.8,5.1
"2019-09-01 00:00:00",7.729,6.0848,6.1,5.1
"2019-12-01 00:00:00",7.8445,6.2403,6.2,5.2
"2020-03-01 00:00:00",7.7323,6.1978,6.2,5.2
"2020-06-01 00:00:00",7.9702,6.7106,6.7,5.6
"2020-09-01 00:00:00",8.0286,6.9565,6.8,6.1
"2020-12-01 00:00:00",8.4612,7.0134,6.9,6.4
"2021-03-01 00:00:00",9.3025,7.2969,7.1,6.6
"2021-06-01 00:00:00",8.9697,6.7103,6.6,6.2
"2021-09-01 00:00:00",8.181,5.988,5.9,5.6
"2021-12-01 00:00:00",7.7263,5.5833,5.5,5.1
"2022-03-01 00:00:00",7.3062,5.0769,5,4.6
"2022-06-01 00:00:00",7.158,4.7702,4.7,4.3
"2022-09-01 00:00:00",6.887,4.5868,4.6,4
"2022-12-01 00:00:00",6.4405,4.3154,4.4,3.7
"2023-03-01 00:00:00",6.0865,4.0406,4.2,3.6
"2023-06-01 00:00:00",6.3237,3.9976,4.1,3.6
"2023-09-01 00:00:00",6.8711,3.9686,4,3.6
"2023-12-01 00:00:00",7.2256,3.9571,3.9,3.7
"2024-03-01 00:00:00",7.2946,3.9931,3.9,3.8
"2024-06-01 00:00:00",7.3592,3.9862,3.8,3.9
"2024-09-01 00:00:00",7.0931,4.0757,3.9,4
"2024-12-01 00:00:00",7.0211,4.1393,4,4